Team,Opponent,REG,W/L,Score,Spread W/L,Spread,O/U W/L,O/U,Home/Away
McNeese State, Lindenwood,REG,L,78-60,L,-7,U,149,1
Mercer, Robert Morris,REG,W,72-66,L,-7,U,139.5,0
Montana, Prairie View A&M,REG,W,81-76,L,-7,O,131,1
Niagara, Binghamton,REG,W,73-67,L,-7,O,127.5,1
Northern Kentucky, Robert Morris,REG,W,60-56,L,-7,U,128,1
Northern Kentucky, Eastern Kentucky,REG,W,64-61,L,-7,U,136,1
Northwestern, Pittsburgh,REG,L,87-58,L,-7,O,129,1
Pacific, Cal Poly,REG,L,62-58,L,-7,U,140,1
Queens, Austin Peay,REG,W,81-77,L,-7,O,138.5,1
Rider, Marist,REG,W,77-71,L,-7,O,128,1
Sacred Heart, Holy Cross,REG,W,66-62,L,-7,U,146,1
San Francisco, Northern Iowa,REG,W,75-69,L,-7,U,147.5,1
Santa Clara, New Mexico State,REG,W,66-65,L,-7,U,155.5,1
Siena, Canisius,REG,W,74-70,L,-7,O,136.5,1
South Dakota State, St. Bonaventure,REG,W,66-62,L,-7,U,143,1
Southern, Nebraska-Omaha,REG,L,88-78,L,-7,O,137,0
Syracuse, Colgate,REG,L,80-68,L,-7,U,151,1
Texas, Creighton,REG,W,72-67,L,-7,U,140.5,1
Troy, Southeastern Louisiana,REG,W,77-71,L,-7,O,144,0
UTSA, Incarnate Word,REG,W,68-62,L,-7,U,133.5,1
Villanova, Portland,REG,L,83-71,L,-7,O,141.5,1
Western Carolina, Lindenwood,REG,W,90-88,L,-7,O,142.5,1
Western Carolina, USC Upstate,REG,L,79-64,L,-7,U,144,1
Wichita State, East Carolina,REG,L,79-69,L,-7,O,125,1
Central Florida, Wichita State,REG,W,52-45,P,-7,U,124,1
Chattanooga, Tennessee Tech,REG,W,81-74,P,-7,O,139.5,0
North Carolina Central, The Citadel,REG,W,81-74,P,-7,O,142.5,1
Tarleton State, Texas-Arlington,REG,W,70-63,P,-7,O,130.5,1
Air Force, USC Upstate,REG,W,83-56,W,-7,O,129.5,1
Appalachian State, Southeastern Louisiana,REG,W,83-74,W,-7,O,131.5,1
Brown, Stony Brook,REG,W,64-53,W,-7,U,143.5,1
Brown, New Hampshire,REG,W,67-51,W,-7,U,126.5,1
Cal State-Fullerton, Cal State-Northridge,REG,W,64-52,W,-7,U,125.5,1
Chicago State, IUPUI,REG,W,68-58,W,-7,U,128.5,1
Colgate, Loyola-Maryland,REG,W,101-67,W,-7,O,139.5,0
Eastern Washington, Stony Brook,REG,W,81-52,W,-7,U,137.5,1
Florida, Florida State,REG,W,76-67,W,-7,U,144.5,0
Florida Atlantic, Florida Gulf Coast,REG,W,85-53,W,-7,U,142.5,1
Florida State, Mercer,REG,W,81-72,W,-7,O,144,1
Furman, South Carolina,REG,W,79-60,W,-7,U,141,0
George Washington, Coppin State,REG,W,83-71,W,-7,U,157.5,1
Harvard, Elon,REG,W,92-77,W,-7,O,133.5,0
Hawaii, Sacramento State,REG,W,74-61,W,-7,O,124,1
Houston, Oregon,REG,W,66-56,W,-7,U,132,0
Liberty, Bellarmine,REG,W,70-53,W,-7,U,124.5,0
Loyola Marymount, Bellarmine,REG,W,80-59,W,-7,O,137,1
Marquette, Georgia Tech,REG,W,84-60,W,-7,U,146,1
Marquette, Seton Hall,REG,W,83-69,W,-7,O,141,1
Michigan State, Nebraska,REG,W,74-56,W,-7,U,132,1
Ole Miss, Florida Atlantic,REG,W,80-67,W,-7,O,134,1
Mississippi State, Minnesota,REG,W,69-51,W,-7,U,128.5,0
Nicholls State, Southeastern Louisiana,REG,W,88-73,W,-7,O,157,1
North Texas, Long Beach State,REG,W,68-47,W,-7,U,126.5,0
Ohio, Stetson,REG,W,85-66,W,-7,O,133,1
Queens, Fairleigh Dickinson,REG,W,82-73,W,-7,O,153,0
Rhode Island, Army,REG,W,77-67,W,-7,O,139.5,1
St. Bonaventure, Southern Indiana,REG,W,80-66,W,-7,O,137.5,1
St. John's, Florida State,REG,W,93-79,W,-7,O,155.5,0
Tennessee, Butler,REG,W,71-45,W,-7,U,133.5,0
Texas A&M-Corpus Christi, UTSA,REG,W,75-55,W,-7,U,143.5,1
Toledo, Northern Kentucky,REG,W,82-69,W,-7,O,141,0
UMass-Lowell, Boston University,REG,W,68-60,W,-7,U,138.5,1
Utah State, Santa Clara,REG,W,96-74,W,-7,O,147.5,1
Virginia Tech, Dayton,REG,W,77-49,W,-7,U,127.5,1
Weber State, Northern Arizona,REG,W,76-60,W,-7,U,140,1
Wisconsin-Milwaukee, Wisconsin-Green Bay,REG,W,81-67,W,-7,O,134,0
Wright State, Bowling Green,REG,W,80-71,W,-7,U,158,1
Abilene Christian, Weber State,REG,L,77-67,L,-6.5,O,134.5,0
Auburn, Saint Louis,REG,W,65-60,L,-6.5,U,149,1
Binghamton, Columbia,REG,W,81-79,L,-6.5,O,146.5,1
Boise State, South Dakota State,REG,L,68-66,L,-6.5,U,145.5,1
Bucknell, Marist,REG,L,60-54,L,-6.5,U,135,1
Bucknell, Holy Cross,REG,L,60-58,L,-6.5,U,138,0
Campbell, Southeastern Louisiana,REG,L,70-69,L,-6.5,O,133,1
Cincinnati, Northern Kentucky,REG,L,64-51,L,-6.5,U,136.5,0
Duke, Wake Forest,REG,L,81-70,L,-6.5,O,141.5,0
Elon, North Dakota,REG,L,77-73,L,-6.5,O,148.5,1
Fairfield, New Hampshire,REG,L,83-71,L,-6.5,O,126,0
Furman, Appalachian State,REG,W,65-61,L,-6.5,U,142.5,0
George Mason, Buffalo,REG,L,82-74,L,-6.5,O,146.5,1
Gonzaga, Purdue,REG,L,84-66,L,-6.5,U,152,1
Grand Canyon, Montana State,REG,W,60-54,L,-6.5,U,140.5,1
Illinois, Missouri,REG,L,93-71,L,-6.5,O,153.5,1
Indiana State, Southern Indiana,REG,L,88-85,L,-6.5,O,157.5,0
Jacksonville State, North Alabama,REG,L,66-62,L,-6.5,U,140,1
Kent State, UTEP,REG,W,47-46,L,-6.5,U,135,0
Memphis, Texas A&M,REG,W,83-79,L,-6.5,O,146.5,1
Miami, Georgia Tech,REG,L,76-70,L,-6.5,U,146.5,0
Michigan State, Villanova,REG,W,73-71,L,-6.5,O,130.5,1
Michigan State, Portland,REG,W,78-77,L,-6.5,O,145.5,0
Ole Miss, Central Florida,REG,L,72-61,L,-6.5,O,129.5,1
Notre Dame, Syracuse,REG,L,62-61,L,-6.5,U,136.5,1
Pacific, Northern Arizona,REG,L,73-69,L,-6.5,U,146.5,1
Princeton, Delaware,REG,L,76-69,L,-6.5,O,143,1
Sacramento State, Denver,REG,W,87-85,L,-6.5,O,134.5,1
Sacred Heart, NJIT,REG,L,85-75,L,-6.5,O,139,1
Seattle, North Dakota,REG,W,80-78,L,-6.5,O,145.5,0
South Florida, Austin Peay,REG,L,62-60,L,-6.5,U,123.5,1
Southern Mississippi, Northwestern State,REG,L,84-82,L,-6.5,O,134,0
Southern Mississippi, Appalachian State,REG,W,76-70,L,-6.5,O,133,1
St. Bonaventure, Canisius,REG,L,84-80,L,-6.5,O,141.5,0
Tennessee-Martin, Chicago State,REG,W,75-74,L,-6.5,U,150,1
Texas Southern, Hampton,REG,W,82-77,L,-6.5,O,141,1
UMKC, Wisconsin-Green Bay,REG,L,70-64,L,-6.5,O,125.5,0
UNC Wilmington, High Point,REG,W,85-82,L,-6.5,O,146,1
UNLV, San Francisco,REG,L,75-73,L,-6.5,O,145,1
Utah State, San Diego,REG,W,91-89,L,-6.5,O,148,0
Virginia Tech, Clemson,REG,L,68-65,L,-6.5,U,136.5,1
Wagner, Stony Brook,REG,W,58-55,L,-6.5,U,129,1
Akron, Wright State,REG,W,66-54,W,-6.5,U,136.5,1
Alabama A&M, Arkansas-Pine Bluff,REG,W,66-59,W,-6.5,U,142,1
American, Loyola-Maryland,REG,W,71-55,W,-6.5,O,125,1
Bradley, Eastern Michigan,REG,W,89-61,W,-6.5,O,148,1
Bradley, Northern Iowa,REG,W,68-53,W,-6.5,U,137,1
Butler, Yale,REG,W,71-61,W,-6.5,U,133.5,1
BYU, Pacific,REG,W,69-49,W,-6.5,U,152,0
Charlotte, Appalachian State,REG,W,71-62,W,-6.5,O,122,1
College of Charleston, Old Dominion,REG,W,75-60,W,-6.5,U,149.5,1
DePaul, UTEP,REG,W,91-70,W,-6.5,O,140.5,1
Drake, Tarleton State,REG,W,71-64,W,-6.5,O,133.5,0
East Carolina, Presbyterian,REG,W,77-57,W,-6.5,O,128.5,1
East Tennessee State, Elon,REG,W,77-64,W,-6.5,U,143.5,1
Florida Gulf Coast, Jacksonville,REG,W,72-65,W,-6.5,O,128.5,1
Hawaii, Eastern Washington,REG,W,71-51,W,-6.5,U,143.5,1
Hawaii, UC Davis,REG,W,74-66,W,-6.5,O,136.5,1
Indiana State, Miami-Ohio,REG,W,88-61,W,-6.5,U,154,0
Indiana State, Valparaiso,REG,W,68-50,W,-6.5,U,149,0
Indiana State, Illinois State,REG,W,76-67,W,-6.5,O,142,0
Iona, St. Bonaventure,REG,W,72-57,W,-6.5,U,139,0
Iowa State, St. John's,REG,W,71-60,W,-6.5,U,142.5,1
Kansas State, California,REG,W,63-54,W,-6.5,U,135,0
La Salle, Wagner,REG,W,77-69,W,-6.5,O,130.5,1
Liberty, Bryant,REG,W,82-62,W,-6.5,U,151,1
Marist, Columbia,REG,W,52-39,W,-6.5,U,136.5,1
Memphis, Mississippi - Ole Miss,REG,W,68-57,W,-6.5,U,134.5,1
Mercer, Morehead State,REG,W,79-52,W,-6.5,U,133.5,1
Middle Tennessee, Murray State,REG,W,83-67,W,-6.5,O,136,1
North Alabama, Alabama State,REG,W,71-63,W,-6.5,U,145,1
NC State, Furman,REG,W,92-73,W,-6.5,O,155,1
North Texas, Fresno State,REG,W,61-52,W,-6.5,U,114.5,1
Northern Illinois, LIU,REG,W,86-61,W,-6.5,O,136.5,0
Oklahoma, Nebraska,REG,W,69-56,W,-6.5,U,131.5,0
Pacific, North Dakota,REG,W,93-63,W,-6.5,O,150.5,0
Princeton, Marist,REG,W,62-55,W,-6.5,U,141,0
Richmond, Northern Iowa,REG,W,68-55,W,-6.5,U,139.5,1
Sacred Heart, Hartford,REG,W,77-70,W,-6.5,O,141,0
Santa Clara, Eastern Washington,REG,W,84-72,W,-6.5,O,155,1
Southern Illinois-Edwardsville, VMI,REG,W,93-67,W,-6.5,O,148.5,1
St. Francis-Brooklyn, Hartford,REG,W,67-51,W,-6.5,U,129.5,0
Troy, Merrimack,REG,W,73-54,W,-6.5,U,131.5,1
UCLA, Stanford,REG,W,80-66,W,-6.5,O,136,0
UMBC, William & Mary,REG,W,78-62,W,-6.5,O,139.5,1
UNC Asheville, Tennessee-Martin,REG,W,90-83,W,-6.5,O,150.5,1
Winthrop, Presbyterian,REG,W,82-72,W,-6.5,O,135.5,1
Wofford, Coastal Carolina,REG,W,71-61,W,-6.5,U,138,1
Youngstown State, Central Michigan,REG,W,76-65,W,-6.5,U,151.5,0
Appalachian State, North Carolina Central,REG,W,79-74,L,-6,O,141,1
Army, Lehigh,REG,W,80-78,L,-6,O,146,1
Belmont, Ohio,REG,W,70-69,L,-6,U,145,1
Boston College, Rhode Island,REG,W,53-49,L,-6,U,128.5,1
Bradley, Southern Illinois-Edwardsville,REG,W,56-54,L,-6,U,137.5,0
Bucknell, Presbyterian,REG,W,66-65,L,-6,U,134.5,0
California, UC Davis,REG,L,75-65,L,-6,O,127,1
Colgate, Delaware,REG,L,72-68,L,-6,U,148.5,0
Florida, Texas A&M,REG,L,66-63,L,-6,U,138,1
Florida Gulf Coast, Mercer,REG,W,67-62,L,-6,U,139,1
Furman, Stephen F. Austin,REG,W,72-70,L,-6,U,148.5,1
Gardner-Webb, North Carolina Central,REG,W,72-70,L,-6,O,131.5,1
Illinois State, Northwestern State,REG,L,70-67,L,-6,O,134,1
Kennesaw State, Eastern Kentucky,REG,W,79-75,L,-6,O,145,1
Louisville, Appalachian State,REG,L,61-60,L,-6,U,136,1
Loyola Marymount, UC Riverside,REG,L,81-79,L,-6,O,139,1
Miami-Ohio, Evansville,REG,L,78-74,L,-6,O,133.5,1
Michigan State, Northwestern,REG,L,70-63,L,-6,O,127,1
Mississippi State, Utah,REG,W,52-49,L,-6,U,124.5,1
Missouri State, UNC Wilmington,REG,L,68-54,L,-6,U,132,0
Missouri State, PFW,REG,L,65-61,L,-6,U,135,1
Montana State, Eastern Washington,REG,L,70-67,L,-6,U,144,1
North Carolina, Pittsburgh,REG,L,76-74,L,-6,O,149.5,0
North Florida, Bethune-Cookman,REG,W,87-85,L,-6,O,147.5,0
Notre Dame, St. Bonaventure,REG,L,63-51,L,-6,U,139,0
Oklahoma State, Central Florida,REG,L,60-56,L,-6,U,133,0
Pacific, Mount St. Mary's,REG,L,69-65,L,-6,U,147.5,1
Quinnipiac, Niagara,REG,L,64-60,L,-6,U,129.5,1
Sacred Heart, Columbia,REG,W,88-85,L,-6,O,149,1
Samford, Louisiana Tech,REG,L,79-76,L,-6,O,147.5,1
San Diego, Nicholls State,REG,L,72-70,L,-6,U,155,1
Santa Clara, Wyoming,REG,W,89-85,L,-6,O,135,1
Siena, Army,REG,L,96-94,L,-6,O,142.5,1
Southern Indiana, Chicago State,REG,L,78-61,L,-6,U,149.5,0
Stephen F. Austin, Quinnipiac,REG,L,58-44,L,-6,U,152,0
Tennessee State, Charleston Southern,REG,L,91-87,L,-6,O,146,1
Texas A&M, Colorado,REG,L,103-75,L,-6,O,142,1
UC Davis, Pacific,REG,L,74-72,L,-6,U,154,1
UC Riverside, Idaho,REG,W,76-74,L,-6,O,137,0
UC Riverside, San Diego,REG,L,92-84,L,-6,O,139.5,1
UMBC, Central Connecticut State,REG,W,78-76,L,-6,O,139.5,1
USC Upstate, South Carolina State,REG,W,89-84,L,-6,O,150.5,1
Virginia, Pittsburgh,REG,L,68-65,L,-6,O,125,0
Virginia Tech, College of Charleston,REG,L,77-75,L,-6,U,153.5,0
Wake Forest, Loyola Marymount,REG,L,77-75,L,-6,O,151,0
Western Kentucky, Rice,REG,L,81-78,L,-6,O,150,1
Wisconsin, Wake Forest,REG,L,78-75,L,-6,O,130,1
Wofford, East Tennessee State,REG,L,73-71,L,-6,O,139,1
Pennsylvania, Lafayette,REG,W,74-68,P,-6,O,132.5,0
TCU, Texas Tech,REG,W,67-61,P,-6,U,137.5,1
Air Force, Arkansas State,REG,W,80-55,W,-6,O,120.5,1
Boston University, New Hampshire,REG,W,64-57,W,-6,U,137.5,0
Bucknell, St. Francis-Pennsylvania,REG,W,89-65,W,-6,O,140.5,1
Bucknell, NJIT,REG,W,79-63,W,-6,O,131,0
Buffalo, Canisius,REG,W,86-66,W,-6,O,149.5,1
Colgate, Brown,REG,W,77-68,W,-6,U,148.5,0
Connecticut, Iowa State,REG,W,71-53,W,-6,U,134,1
East Carolina, Texas-Arlington,REG,W,79-65,W,-6,O,127,0
Eastern Washington, North Dakota State,REG,W,78-70,W,-6,O,145,1
Florida Atlantic, South Alabama,REG,W,84-59,W,-6,O,140.5,1
Florida Gulf Coast, UMKC,REG,W,73-59,W,-6,O,131.5,1
Fordham, Dartmouth,REG,W,88-74,W,-6,O,127,1
George Washington, Howard,REG,W,85-75,W,-6,O,147,1
Grand Canyon, Cal Baptist,REG,W,73-59,W,-6,O,126.5,1
Iona, Pennsylvania,REG,W,78-50,W,-6,U,148,1
Iona, Pepperdine,REG,W,76-66,W,-6,U,151.5,0
La Salle, Queens,REG,W,72-60,W,-6,U,151,1
Memphis, Stanford,REG,W,56-48,W,-6,U,137.5,1
Mississippi State, Akron,REG,W,73-54,W,-6,U,128.5,0
New Mexico, Colorado State,REG,W,88-69,W,-6,O,151.5,1
Northeastern, North Carolina A&T,REG,W,88-76,W,-6,O,137,1
Sacred Heart, LIU,REG,W,82-64,W,-6,U,151.5,0
Saint Peter's, Fairleigh Dickinson,REG,W,77-63,W,-6,U,146,1
Sam Houston State, South Dakota,REG,W,80-49,W,-6,U,131,0
San Diego, UC San Diego,REG,W,84-58,W,-6,O,139.5,1
South Dakota, Lipscomb,REG,W,85-77,W,-6,O,149,1
Stanford, Florida State,REG,W,70-60,W,-6,U,139.5,1
TCU, Providence,REG,W,75-62,W,-6,O,134,1
UTEP, Alcorn State,REG,W,73-61,W,-6,O,131.5,1
West Virginia, UAB,REG,W,81-70,W,-6,U,154,1
Wisconsin-Green Bay, IUPUI,REG,W,68-61,W,-6,O,124.5,1
Youngstown State, Western Illinois,REG,W,88-64,W,-6,O,151,0
Youngstown State, Cleveland State,REG,W,85-71,W,-6,O,138.5,1
Arizona State, Stanford,REG,W,68-64,L,-5.5,U,133,1
Arkansas State, Arkansas-Little Rock,REG,W,77-75,L,-5.5,O,133.5,1
Arkansas State, Louisiana-Monroe,REG,L,84-72,L,-5.5,O,126,1
Auburn, Florida,REG,W,61-58,L,-5.5,U,140,1
Baylor, Marquette,REG,L,96-70,L,-5.5,O,155,0
Boise State, Charlotte,REG,L,54-42,L,-5.5,U,131,0
Cal Poly, Weber State,REG,L,74-45,L,-5.5,U,129,1
Central Florida, East Carolina,REG,W,64-61,L,-5.5,U,129.5,0
Charlotte, Louisiana Tech,REG,W,68-66,L,-5.5,P,134,1
Colorado, UMass,REG,L,66-63,L,-5.5,U,150.5,0
Duquesne, New Mexico State,REG,L,73-60,L,-5.5,U,147,1
George Washington, American,REG,L,69-64,L,-5.5,U,134,1
Georgetown University, South Carolina,REG,L,74-71,L,-5.5,O,140.5,1
Harvard, Maine,REG,W,74-73,L,-5.5,O,133.5,0
Louisiana-Lafayette, East Tennessee State,REG,W,81-77,L,-5.5,O,145,0
Louisville, Wright State,REG,L,73-72,L,-5.5,O,144.5,1
Manhattan, Monmouth,REG,L,76-69,L,-5.5,O,134.5,1
Marquette, Wisconsin,REG,L,80-77,L,-5.5,O,135.5,1
Montana, Eastern Washington,REG,L,87-80,L,-5.5,O,142,1
New Mexico State, Southern Utah,REG,L,79-75,L,-5.5,U,155.5,1
Norfolk State, North Carolina A&T,REG,W,70-66,L,-5.5,U,139,1
North Carolina, Iowa State,REG,L,70-65,L,-5.5,U,140.5,0
North Carolina, Michigan,REG,W,80-76,L,-5.5,O,154,1
NC State, Vanderbilt,REG,W,70-66,L,-5.5,U,144.5,1
North Dakota State, Pacific,REG,L,91-86,L,-5.5,O,147,1
Ohio State, Rutgers,REG,W,67-66,L,-5.5,U,136.5,1
Old Dominion, Gardner-Webb,REG,W,44-43,L,-5.5,U,126,1
Pennsylvania, Saint Joseph's,REG,L,85-80,L,-5.5,O,144.5,1
PFW, Detroit,REG,L,75-66,L,-5.5,U,143.5,1
Princeton, Harvard,REG,W,69-66,L,-5.5,U,136,1
Saint Louis, Boise State,REG,L,57-52,L,-5.5,U,142,1
Southern Indiana, Western Illinois,REG,L,86-78,L,-5.5,O,149.5,0
Tennessee, Maryland,REG,W,56-53,L,-5.5,U,134,0
Towson, Northern Iowa,REG,L,83-66,L,-5.5,O,133,1
Troy, Mercer,REG,L,82-79,L,-5.5,O,137.5,1
UNC Greensboro, North Carolina A&T,REG,L,73-56,L,-5.5,U,129.5,0
Villanova, Temple,REG,L,68-64,L,-5.5,U,133,0
Wagner, Merrimack,REG,L,58-48,L,-5.5,U,121,1
Wofford, Georgia Southern,REG,L,79-57,L,-5.5,O,134.5,0
Arizona, Arizona State,REG,W,69-60,W,-5.5,U,155.5,0
Bryant, Dartmouth,REG,W,89-70,W,-5.5,O,151,0
Dixie State, Cal State-Northridge,REG,W,69-63,W,-5.5,U,136.5,1
East Carolina, High Point,REG,W,60-49,W,-5.5,U,152,1
Fresno State, Cal State-Bakersfield,REG,W,56-48,W,-5.5,U,117,0
Georgetown University, Siena,REG,W,75-68,W,-5.5,O,142,1
Illinois State, Eastern Michigan,REG,W,87-81,W,-5.5,O,143,1
Jacksonville, Jacksonville State,REG,W,62-46,W,-5.5,U,127.5,1
Kennesaw State, Charleston Southern,REG,W,76-65,W,-5.5,O,139.5,0
Kent State, Portland,REG,W,77-65,W,-5.5,U,153,1
La Salle, Bucknell,REG,W,82-72,W,-5.5,O,140,1
Loyola Marymount, UC Davis,REG,W,85-75,W,-5.5,O,143.5,1
Marshall, Miami-Ohio,REG,W,95-69,W,-5.5,O,156.5,0
Miami-Ohio, Jackson State,REG,W,95-78,W,-5.5,O,147,1
Montana, St. Thomas (MN),REG,W,78-59,W,-5.5,U,138.5,1
Navy, UC San Diego,REG,W,78-69,W,-5.5,O,132,1
Navy, Mount St. Mary's,REG,W,75-59,W,-5.5,O,131.5,1
Nebraska, Boston College,REG,W,88-67,W,-5.5,O,131,1
New Hampshire, Holy Cross,REG,W,78-60,W,-5.5,O,131.5,1
Oregon, Washington State,REG,W,74-60,W,-5.5,U,135.5,1
Penn State, Butler,REG,W,68-62,W,-5.5,U,144.5,1
PFW, Southern Indiana,REG,W,83-59,W,-5.5,U,150,1
Presbyterian, VMI,REG,W,72-57,W,-5.5,U,134.5,1
Presbyterian, Elon,REG,W,69-63,W,-5.5,O,130.5,1
Princeton, UMBC,REG,W,94-64,W,-5.5,O,152.5,0
Providence, Rhode Island,REG,W,88-74,W,-5.5,O,132.5,0
Providence, DePaul,REG,W,74-59,W,-5.5,U,147,0
Rice, Georgia Southern,REG,W,88-71,W,-5.5,O,138.5,1
Rice, Prairie View A&M,REG,W,70-62,W,-5.5,U,148.5,1
Rice, Northwestern State,REG,W,110-73,W,-5.5,O,153.5,1
Saint Joseph's, Saint Peter's,REG,W,73-57,W,-5.5,U,133.5,1
San Jose State, Cal Poly,REG,W,65-43,W,-5.5,U,122,1
St. Francis-Brooklyn, Delaware State,REG,W,81-73,W,-5.5,O,133.5,1
St. Thomas (MN), North Dakota State,REG,W,78-68,W,-5.5,O,144.5,1
Stanford, Loyola-Chicago,REG,W,75-62,W,-5.5,O,125.5,1
Stephen F. Austin, Gardner-Webb,REG,W,86-71,W,-5.5,O,138.5,1
Texas A&M, Loyola-Chicago,REG,W,67-51,W,-5.5,U,136,0
UC Irvine, South Dakota,REG,W,83-71,W,-5.5,O,137.5,0
UIC, Holy Cross,REG,W,89-66,W,-5.5,O,142,1
Western Illinois, UTRGV,REG,W,90-72,W,-5.5,O,156,1
Wichita State, Tarleton State,REG,W,83-71,W,-5.5,O,125.5,1
Wright State, Weber State,REG,W,87-65,W,-5.5,O,142,0
Baylor, Virginia,REG,L,86-79,L,-5,O,132.5,0
Belmont, Illinois State,REG,L,87-77,L,-5,O,135.5,0
Boston University, Southeast Missouri State,REG,L,63-52,L,-5,U,142.5,1
Cal State-Fullerton, Dixie State,REG,L,66-60,L,-5,U,142.5,0
Cal State-Fullerton, North Dakota,REG,L,73-57,L,-5,U,135,0
Chattanooga, Belmont,REG,L,83-79,L,-5,O,151.5,1
Colgate, Vermont,REG,L,73-72,L,-5,O,137.5,1
Colorado, Arizona State,REG,L,60-59,L,-5,U,139.5,1
Denver, New Orleans,REG,W,77-76,L,-5,O,152,0
Duke, North Carolina State,REG,L,84-60,L,-5,U,144.5,0
Eastern Illinois, Lindenwood,REG,W,55-54,L,-5,U,138,1
Georgia Southern, Morehead State,REG,L,74-71,L,-5,O,128,1
Georgia State, Eastern Kentucky,REG,L,62-61,L,-5,U,149.5,1
Marshall, Queens,REG,L,83-82,L,-5,U,167.5,0
Missouri State, Ball State,REG,L,67-64,L,-5,U,139,1
Northern Colorado, San Jose State,REG,L,80-69,L,-5,O,140,1
Quinnipiac, Saint Peter's,REG,L,63-56,L,-5,U,133,0
Rhode Island, Brown,REG,L,59-58,L,-5,U,129,1
Southern Indiana, Eastern Illinois,REG,L,91-80,L,-5,O,143.5,0
Texas A&M, Boise State,REG,L,86-71,L,-5,O,132.5,1
Texas State, UTSA,REG,L,61-56,L,-5,U,134.5,0
Texas State, Rice,REG,L,83-71,L,-5,O,137.5,1
Troy, St. Thomas (MN),REG,L,78-76,L,-5,O,140.5,0
Tulane, George Mason,REG,L,62-56,L,-5,U,143.5,1
Tulsa, Detroit,REG,L,76-72,L,-5,U,152,1
UAB, Toledo,REG,L,93-85,L,-5,O,155.5,1
UC Davis, Wisconsin-Milwaukee,REG,L,87-85,L,-5,O,149,0
UMKC, Idaho State,REG,L,75-65,L,-5,O,125,1
UNLV, San Jose State,REG,L,75-72,L,-5,O,134.5,0
Utah, Georgia Tech,REG,W,68-64,L,-5,U,135.5,1
Washington, Oregon State,REG,L,66-65,L,-5,U,132.5,0
Cal Baptist, UC Riverside,REG,W,65-60,P,-5,U,132,1
Drake, Wyoming,REG,W,61-56,P,-5,U,147,0
High Point, North Florida,REG,W,93-88,P,-5,O,154.5,1
Middle Tennessee, Western Kentucky,REG,W,65-60,P,-5,U,140,1
Southern Indiana, Southeast Missouri State,REG,W,86-81,P,-5,O,153.5,1
Abilene Christian, Cal State-Bakersfield,REG,W,65-59,W,-5,U,127,0
Alabama, Michigan State,REG,W,81-70,W,-5,O,145.5,0
Arizona State, Southern Methodist,REG,W,75-57,W,-5,U,136,0
Belmont, Samford,REG,W,79-56,W,-5,U,149.5,1
Bradley, Akron,REG,W,74-55,W,-5,O,122.5,1
Cal Poly, Cal State-Northridge,REG,W,67-57,W,-5,U,126,1
Cincinnati, Tulane,REG,W,88-77,W,-5,O,151,1
Denver, Houston Baptist,REG,W,93-83,W,-5,O,152.5,0
Duke, Xavier,REG,W,71-64,W,-5,U,148.5,0
Duke, Ohio State,REG,W,81-72,W,-5,O,135.5,1
Fairfield, Marist,REG,W,73-54,W,-5,O,125.5,1
Florida Gulf Coast, Georgia Southern,REG,W,70-53,W,-5,U,137,0
Grand Canyon, Pepperdine,REG,W,83-73,W,-5,O,136,1
James Madison, Georgia State,REG,W,63-47,W,-5,U,142.5,0
Kansas, Indiana,REG,W,84-62,W,-5,O,141.5,1
Kansas State, Nevada,REG,W,96-87,W,-5,O,139,1
Maine, Columbia,REG,W,93-70,W,-5,O,142,1
McNeese State, Lamar,REG,W,81-62,W,-5,O,137,0
Murray State, Evansville,REG,W,78-61,W,-5,O,133.5,0
Nebraska-Omaha, Idaho,REG,W,79-72,W,-5,O,143,1
Nevada, Texas-Arlington,REG,W,62-43,W,-5,U,141.5,0
Norfolk State, Bowling Green,REG,W,81-75,W,-5,O,144,1
Northern Illinois, Eastern Illinois,REG,W,90-70,W,-5,O,129.5,0
Penn State, Colorado State,REG,W,68-56,W,-5,U,135.5,0
Pepperdine, Rice,REG,W,106-67,W,-5,O,151.5,1
Quinnipiac, Manhattan,REG,W,84-65,W,-5,O,142.5,0
Saint Louis, Drake,REG,W,83-75,W,-5,O,147.5,1
Saint Peter's, Manhattan,REG,W,67-57,W,-5,U,131.5,1
Southern Illinois, Belmont,REG,W,63-45,W,-5,U,134.5,1
Southern Utah, Idaho State,REG,W,69-59,W,-5,U,143.5,0
St. Thomas (MN), Merrimack,REG,W,72-61,W,-5,U,133.5,0
Temple, La Salle,REG,W,67-51,W,-5,U,134.5,0
Texas State, Texas-Arlington,REG,W,71-65,W,-5,O,124,0
Toledo, Richmond,REG,W,90-67,W,-5,O,145.5,1
Towson, Mercer,REG,W,70-60,W,-5,U,133.5,0
UC-Santa Barbara, Portland State,REG,W,85-73,W,-5,O,144,0
UC-Santa Barbara, Appalachian State,REG,W,61-50,W,-5,U,130,0
UIC, Stonehill College,REG,W,77-71,W,-5,U,154,1
UIC, Wisconsin-Green Bay,REG,W,78-64,W,-5,O,134.5,0
UNC Greensboro, Western Carolina,REG,W,72-47,W,-5,U,134.5,0
UTSA, Bethune-Cookman,REG,W,90-69,W,-5,O,141.5,1
Valparaiso, Western Michigan,REG,W,81-65,W,-5,O,136.5,1
Vermont, Dartmouth,REG,W,68-52,W,-5,U,138,0
Villanova, St. John's,REG,W,78-63,W,-5,U,146.5,1
