Team ,Score ,Away Score ,Home Score ,FG% ,FT% ,3PT ,3PT% ,Assists ,Off. Rebounds ,Turnovers ,Def. Rebounds ,Steals ,Score ,Away Score ,Home Score ,FG% ,FT% ,3PT ,3PT% ,Assists ,
Indiana,80.08,63.67,85,50.71,69.62,7.08,36.51,17.31,9.23,12.46,27.92,7.23,65.31,75.33,62.3,39.74,68.45,7.38,32.54,11.62,
Indiana State,81.2,81,81.33,47.6,75.19,9.8,33.72,16.07,7.6,12.33,27.67,7.6,70.07,73.83,67.56,41.94,70.65,6.67,32.79,8.93,
Iona,77.43,76.43,78.43,46.59,75.23,6.93,34.15,15.71,10.57,11.07,24.57,7.64,66.29,70.71,61.86,41.32,69.82,5.5,29.62,12.57,
Iowa,81.07,69,90.13,44.61,71.61,7.57,31.74,16.93,12.57,9.93,26.93,6.64,71.36,73.33,69.88,44.41,73.78,6.57,31.83,13.36,
Iowa State,71.42,63.33,74.11,46.44,68.68,6.67,33.61,16.58,11.17,13,21.67,10.83,57.33,75,51.44,38.45,73.15,7,30.11,10,
IUPUI,60.47,60.4,60.6,43.47,71.5,4.13,26.84,9.73,8.4,16.2,21.93,6.07,71.27,76.4,61,46.11,75.1,7.07,33.97,13.53,
Jackson State,66.14,66.14,0,41.07,63.41,6.57,31.51,13.14,12.71,17.64,22.86,7.5,81.36,81.36,0,49.06,75.67,9.29,37.36,16.57,
Jacksonville,65.62,58.63,76.8,46.02,72.61,7.92,36.65,15.46,8.38,12.62,27.08,6.23,58.92,65.38,48.6,38.71,67.32,7.46,28.61,11.31,
Jacksonville State,71.8,64.33,83,44.16,68.97,9.4,38.95,12.87,10.6,12.73,24.8,6.2,71,77.78,60.83,43.17,74.27,9.33,36.55,14.27,
James Madison,89.73,80,104.33,50,69.45,8.6,37.94,14.73,13,14,27.53,11.6,65.27,69,59.67,39.73,64.84,7.07,29.36,11.07,
Kansas,77.86,73.8,80.11,48.21,68.6,8,37.58,18.43,11,12.36,26.71,9.5,65.07,69,62.89,39.95,69.92,7.29,32.18,10.64,
Kansas State,78.5,81,77.82,47.52,72.91,6.93,35.02,18.79,10.93,13.36,24.43,8.07,64.93,77.67,61.45,42.37,65.36,5.86,31.54,11.79,
Kennesaw State,72.87,66,83.17,43.82,63.29,9,37.19,14.2,9.93,13.33,25.33,9.33,66.73,73,57.33,42.18,68.61,6.2,31.42,10.2,
Kent State,75.14,64,86.29,44.09,77.83,8.5,34.39,12.71,9.43,12.29,25.29,10.36,61.64,60,63.29,38.06,68.46,6.57,30.87,10.86,
Kentucky,78.64,74.25,80.4,47.33,66.54,8,39.02,17.86,13.71,11.93,25.71,7.29,66.5,83,59.9,41.48,72.44,6.86,33.92,11.07,
La Salle,68.14,69.14,67.14,41.38,68.83,7.07,32.78,11.86,10.07,13.21,24.43,7.64,73.21,77.14,69.29,45.36,73.26,7.29,35.79,13.64,
Lafayette,61.07,63.6,56,40.54,65.9,9.47,33.26,15.6,7.6,11.8,21.93,5.67,68.27,70.1,64.6,45.49,71.26,8.13,35.88,13.33,
Lamar,68.54,63.67,72.71,42.82,66.05,5.31,26.64,15.23,12.77,14.08,23.38,7.69,77,82.33,72.43,46.38,64.02,10.31,34.9,18.54,
League Average,72.49,66.73,77.27,44.62,70.61,7.53,34.05,13.64,10.37,13.03,25.41,6.93,68.92,64.9,73.75,42.85,70.41,7.17,32.97,12.66,
Lehigh,70.85,66.29,76.17,43.84,70.41,8.23,36.27,13.69,7.92,13.31,28.62,6.77,73.08,80.29,64.67,44.33,66.82,7.62,35.48,12.77,
Liberty,76.2,62.75,81.09,48.26,73.56,12.27,40.89,18.27,7.73,11.2,25.13,7.07,59.73,74.5,54.36,40.99,73.57,6.47,35.02,9.67,
Lindenwood,65.92,62.1,78.67,40.59,71.13,6.85,31.34,11.31,9.08,14.46,26.15,7.15,73.31,77.1,60.67,42.73,71.91,8.31,30.77,15.08,
Lipscomb,75.93,69.5,83.29,47.48,70.22,7.67,33.14,13.67,10.27,12.53,26.67,5.67,70.8,74.63,66.43,43.19,73.09,7.93,34.59,10.93,
LIU,67.93,61.57,74.29,42.3,62.11,5.43,32.62,13.64,10.07,16.93,24.43,6.71,82.5,93.14,71.86,48.38,66.67,7.5,33.33,18.07,
Long Beach State,75.43,75.6,75.33,46,63.57,4.57,30.92,14.79,12.64,13.86,28,8.21,72.5,81.8,67.33,40.86,74.02,8.93,32.3,14.71,
Longwood,78.8,66.75,92.57,46.61,74.4,8.4,37.72,14.13,11.8,11.93,24.73,6.93,67.2,66,68.57,41.94,70.92,8.53,34.13,13.13,
Louisiana Tech,77.71,69.71,85.71,46.1,71.89,9.21,35.05,14.64,11.21,14.64,24.29,9.21,68.21,75.57,60.86,43.45,68.66,8.29,35.91,14.14,
Louisiana-Lafayette,81.64,74,95.4,48.78,71,8.14,38.51,16.29,11.14,12.79,26.29,6.79,72.43,75.56,66.8,43.54,75.43,6.5,33.21,11.64,
Louisiana-Monroe,71.6,62.75,81.71,43.38,69.59,7.2,35.06,14.87,12.13,14.2,23.6,8.53,69.67,76.88,61.43,43.26,75.56,7.8,33.43,13.93,
Louisville,62,59.2,63.4,40.69,72.6,5.87,32,8.93,8.6,16.73,23.6,5.53,74.07,79.6,71.3,46.89,68.63,7.2,33.96,14,
Loyola Marymount,76.88,74.14,79,45.46,65.95,9.63,35.24,12.75,10.69,12.5,26.94,6.13,70,75.14,66,43.17,69.44,6.19,30.84,12.19,
Loyola-Chicago,69.08,63.25,71.67,47.91,70.05,7.38,33.68,13.77,8.77,16.46,24.46,6,69.85,71,69.33,43.42,75.28,6.69,32.46,11.31,
